DMAINDEX,Count of # orders,total $,count of customers,CNTYTVHH_count,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH_DMAP,DMA,GOOGLE_DMA,STCOUNTYFP
142.0,27,17888.48,23,281820.0,OK ,Comanche                    ,40,31,39350,WICHITA FALLS (TX) - LAWTON (OK)                                     ,Wichita-Hutchinson KS,4031
143.0,7,1842.28,3,34480.0,PA ,Crawford                    ,42,39,34320,ERIE (PA)                                                            ,Erie PA,4239
144.0,122,77307.2,83,670340.0,NC ,Bladen                      ,37,17,13160,WILMINGTON (NC)                                                      ,Wilmington NC,3717
145.0,11,4556.38,10,74500.0,KS ,Allen                       ,20,1,5590,JOPLIN (MO) - PITTSBURG (KS)                                         ,Joplin MO-Pittsburg KS,201
146.0,19,10957.86,14,142760.0,IL ,Clark                       ,17,23,7060,TERRE HAUTE (IN)                                                     ,Terre Haute IN,1723
147.0,43,50814.9,35,1057680.0,TX ,Bailey                      ,48,17,2250,LUBBOCK (TX)                                                         ,Lubbock TX,4817
148.0,19,6348.74,18,56440.0,GA ,Atkinson                    ,13,3,2810,ALBANY (GA)                                                          ,Albany GA,133
149.0,1,413.08,1,18090.0,VA ,Tazewell                    ,51,185,18090,BLUEFIELD (WV) - BECKLEY (WV) - OAK HILL (WV)                        ,Bluefield-Beckley-Oak Hill WV,51185
150.0,1,4160.0,1,6880.0,OH ,Belmont                     ,39,13,27610,WHEELING (WV) - STEUBENVILLE (OH)                                    ,Wheeling WV-Steubenville OH,3913
152.0,27,23578.0,19,297360.0,IA ,Cerro Gordo                 ,19,33,19070,ROCHESTER (MN) - MASON CITY (IA) - AUSTIN (MN)                       ,Rochester MN-Mason City IA-Austin MN,1933
154.0,8,2188.84,6,58200.0,NY ,Broome                      ,36,7,78500,BINGHAMTON (NY)                                                      ,Binghamton NY,367
155.0,1,342.0,1,2060.0,MT ,Daniels                     ,30,19,890,MINOT (ND) - BISMARCK (ND) - DICKINSON (ND)                          ,Minot-Bismarck-Dickinson(Williston) ND,3019
157.0,2,1260.0,2,4740.0,MS ,George                      ,28,39,6770,BILOXI (MS) - GULFPORT (MS)                                          ,Biloxi-Gulfport MS,2839
158.0,121,130167.56,90,532800.0,TX ,Andrews                     ,48,3,4480,ODESSA (TX) - MIDLAND (TX)                                           ,Odessa-Midland TX,483
159.0,32,20321.66,29,135240.0,FL ,Bay                         ,12,5,61800,PANAMA CITY (FL)                                                     ,Panama City FL,125
160.0,15,4003.64,11,190420.0,OK ,Atoka                       ,40,5,5000,SHERMAN (TX) - ADA (OK)                                              ,Sherman TX-Ada OK,405
163.0,34,47171.9,26,321680.0,TX ,Brown                       ,48,49,14340,ABILENE (TX) - SWEETWATER (TX)                                       ,Abilene-Sweetwater TX,4849
164.0,16,7199.4400000000005,14,60710.0,IA ,Lee                         ,19,111,14830,QUINCY (IL) - HANNIBAL (MO) - KEOKUK (IA)                            ,Quincy IL-Hannibal MO-Keokuk IA,19111
168.0,2,1260.0,2,4500.0,MS ,Covington                   ,28,31,7190,HATTIESBURG (MS) - LAUREL (MS)                                       ,Hattiesburg-Laurel MS,2831
170.0,16,5126.0,12,207550.0,MT ,Big Horn                    ,30,3,3810,BILLINGS (MT)                                                        ,"Billings, MT",303
173.0,5,946.78,5,115260.0,NY ,Chemung                     ,36,15,34280,ELMIRA (NY)                                                          ,Elmira NY,3615
175.0,13,5901.76,10,106960.0,MT ,Carter                      ,30,11,490,RAPID CITY (SD)                                                      ,Rapid City SD,3011
177.0,3,1250.8,2,25300.0,MI ,Alger                       ,26,3,3820,MARQUETTE (MI)                                                       ,Marquette MI,263
178.0,38,81150.32,25,196650.0,VA ,Harrisonburg City           ,51,660,0,HARRISONBURG                                                         ,,51660
178.0,38,81150.32,25,196650.0,VA ,Augusta                     ,51,15,43860,HARRISONBURG (VA)                                                    ,Harrisonburg VA,5115
179.0,1,687.96,1,17200.0,LA ,Avoyelles Parish            ,22,9,14860,ALEXANDRIA (LA)                                                      ,Alexandria LA,229
180.0,8,11312.099999999999,7,116280.0,KY ,Adair                       ,21,1,6650,BOWLING GREEN (KY)                                                   ,Bowling Green KY,211
182.0,7,11299.0,6,45300.0,AR ,Chicot                      ,5,17,4920,GREENWOOD (MS) - GREENVILLE (MS)                                     ,Greenwood-Greenville MS,517
183.0,15,9252.64,11,108480.0,TN ,Carroll                     ,47,17,11690,JACKSON (TN)                                                         ,Jackson TN,4717
186.0,80,54949.04,67,22850.0,VA ,Charlottesville City        ,51,540,0,CHARLOTTESVILLE                                                      ,,51540
186.0,80,54949.04,67,22850.0,VA ,Albemarle                   ,51,3,49150,CHARLOTTESVILLE (VA)                                                 ,Charlottesville VA,513
187.0,3,1146.0,2,4970.0,MT ,Blaine                      ,30,5,2390,GREAT FALLS (MT)                                                     ,Great Falls MT,305
188.0,6,2467.62,5,168470.0,OH ,Washington                  ,39,167,24790,PARKERSBURG (WV)                                                     ,Parkersburg WV,39167
189.0,16,9820.84,11,167130.0,IN ,Benton                      ,18,7,3450,LAFAYETTE (IN)                                                       ,Lafayette IN,187
192.0,7,5311.56,6,166020.0,TX ,Webb                        ,48,479,54040,LAREDO (TX)                                                          ,Laredo TX,48479
193.0,3,1830.32,2,16280.0,KS ,Doniphan                    ,20,43,3190,ST. JOSEPH (MO)                                                      ,St. Joseph MO,2043
196.0,34,14450.24,32,165260.0,TX ,Coke                        ,48,81,1580,SAN ANGELO (TX)                                                      ,San Angelo TX,4881
198.0,8,3684.14,7,54270.0,IA ,Davis                       ,19,51,3140,OTTUMWA (IA) - KIRKSVILLE (MO)                                       ,Ottumwa IA-Kirksville MO,1951
202.0,7,4063.2000000000003,5,32280.0,OH ,Muskingum                   ,39,119,32280,ZANESVILLE (OH)                                                      ,Zanesville OH,39119
204.0,9,4408.28,9,60800.0,TX ,Victoria                    ,48,469,30400,VICTORIA (TX)                                                        ,Victoria TX,48469
209.0,5,994.0,5,28600.0,NE ,Arthur                      ,31,5,200,NORTH PLATTE (NE)                                                    ,North Platte NE,315
